14-12	PRESIDENT DE VALERA: 	Some of the members do not know Irish, I think, and consequently what I shall say will be in English. The question we have to decide is one which ought to be decided on its merits, and it would be very unfortunate if extraneous matters such as what I might call an accidental division of opinion of the Cabinet, or the causes which gave rise to it, should cut across these considerations. I think, therefore, it would be wise to give a short narrative of the circumstances under which the plenipotentiaries were appointed, and to explain the terms of reference, if I might call them so, or directions given to teem, and to explain them in so far as I can do so, consistent with public interest. If anybody wants a mere detailed explanation, or wants to probe into the difference of opinion more deeply, we can do so at a private session. WE can easily resolve ourselves into a private session and go fully into the matter. Really there is nothing extraordinary in the division of opinion, for this reason, that when the plenipotentiaries would report, it was obvious the Cabinet would have to take a policy. Either the whole Cabinet would have to go over-if the possibility of division was to be eliminated, the whole Cabinet should take responsibility for the negotiations, which was a thing that would not be desirable for other reasons. Even if they did there might be divisions. You could scarcely eliminate differences of opinion. It was necessary then either that the plenipotentiaries should be a whole Cabinet or that there should be other persons than members of the Cabinet. What we did was, we selected three members of the Cabinet with two others and it was obvious if these plenipotentiaries were to be in a position to do the work given to them they should have full powers of negotiation. At the two meetings of the Dáil at which they were appointed I made it quite clear that my own point of view, and the point of view of the Cabinet as a whole - at least I took responsibility for saying it was the view of the Cabinet- was that the plenipotentiaries should have full plenary powers to negotiate, with the understanding, however, that when they reported, the Cabinet would decide its policy, and whatever arrangement they arrived at, it would have to be submitted to the Dáil for ratification. The question of committing the country completely without ratification by the Dáil was of course out of the question. This assembly would not have sent any five men to negotiate a treaty which would bind the nation without some chance of a larger body of representatives of the nation having an opportunity of criticising and reviewing it, and, I would say under the circumstances, of the nation itself reviewing it. Now, that was quite a common sense understanding. They had to have the plenary powers in order to be able to do their work. If there was a definite difference of opinion, it was the plenipotentiaries had the responsibility of making up their own minds and deciding on it. we had ourselves the right of refusing to agree with them, if we thought that was right. It was also obvious that the Cabinet and the plenipotentiaries should keep in the closest possible touch. We did that. We were in agreement up to a certain point. A definite question had then to be decided and we did not agree. I do not know if the Chairman of the Delegation or the plenipotentiaries would have any objection—it would not in any way interfere with public interests—if the Cabinet instructions were given. Is there any objection? I do not think there is.	0.06	0.025	0.9581
14-12	Mr. ARTHUR GRIFFITH  : 	No.	0	1	-0.296
14-12	PRESIDENT DE VALERA: 	Here is the actual text of the instructions which I wrote with my own hand at the Cabinet meeting on the 7th October:- The Plenipotentiaries have full powers as defined in their credentials.It is understood before decisions are finally reached on the main question,that a dispatch notifying the intention to make these decisions will be sent to members of the Cabinet in Dublin, and that a reply will be awaited by the Plenipotentiaries before final decision is made.It is also understood that the complete text of the draft treaty about to be signed will be similarly submitted to Dublin, and reply awaited.Now I want you to pay particular attention to that particular paragraph. The instructions proceed: In case of a break, the text of the final proposals from our side will be similarly submitted.It is understood the Cabinet in Dublin will be kept regularly in- formed of the progress of the negotiations.That was all done with the exception of paragraph three. It is obvious that a treaty which would be a lasting agreement between two nations, and which may govern the relations of nations for centuries, is a document which, even when you have agreed upon the fundamental principles, should be most care fully examined. My idea was when the plenipotentiaries had arrived at an agreement on the treaty, and had a rough copy of a document which they were prepared to sign, that document, in its full text, would be transmitted, because in the case of a treaty, even verbal, the exact form of words is of tremendous importance. I have only to say with respect to paragraph three that the final text was not submitted. When the previous draft, which considerably differed from the final text, was submitted, that I said I could not sign, and I do not think the other members of the Cabinet, whose views on a vital question we had to determine for ourselves earlier, would sign. With the knowledge that we could not accept that, the plenipotentiaries, acting in accordance with their rights, signed the treaty, and as far as the relations between the Cabinet and the plenipotentiaries are concerned, the only point is that paragraph three was not carried out to the letter. This was most important, and I feel myself, had it been done, we might have got complete agreement between the Cabinet and the plenipotentiaries. I say that in order that everyone may realise that this is a case of a difference of opinion between two bodies, which in a case like this would naturally and did naturally arise, and therefore I am anxious that it should not in any way interfere with the discussion on the treaty which the plenipotentiaries have brought to us. We are to treat it on its merits. Just as you probably will hold different opinions on the merits of it, so we in the Cabinet hold different opinions on it. The main question at issue as far back as the third week in October was decided by us, and, those who were in favour of the decision on the side I am taking were certainly a majority of the Cabinet, though the whole Cabinet was not present at the meeting. I am ready to answer any questions about the conduct of the negotiations that may be in the public interest, and if there are any questions, or any matter which you wish to probe, further that is not in the public interest, I would be glad to answer it in a private session so that you may understand it thoroughly.	0.109	0.011	0.9949
14-12	Mr. P. O'KEEFFE  : 	What is to be done in regard to Dr. White's motion that the session be held in private? I want to know is Dr. White going to move the resolution in connection with the notice of motion on the agenda to-day.	0.032	0	0.0772
14-12	MR. A. GRIFFITH  : 	I wish to say as regards any suggestion that the plenipotentiaries exceeded their instructions, that I, as Chairman of the Delegation, immediately controvert it.	0.109	0	0.4019
14-12	PRESIDENT DE VALERA: 	It will settle nothing if one says one thing and another says the other. What I said, and I think it will be made evident by an examination, if anybody wishes to appoint three or four independently to look into the matter, it will be made evident that paragraph three of the instructions was not exceeded; but paragraph three was not carried out. The Treaty was signed in the small hours of the morning after the text—after certain alterations had been made, and we never saw the alterations. Had I seen it, I would have used any influence I had to try to secure unanimity in the matter, and then if we could not secure unanimity, we knew where we were. The chance was lost by the fact that after certain alterations had been made, instead of sending the final draft to us, and taking time over it, so that matters could be fully considered, it was rushed unfortunately. That is all I have got to say about it.	0.108	0.034	0.8409
14-12	MR. MICHAEL COLLINS  : 	The original terms that were served on each member of the delegation have not been read out. The thing has already taken an unfair aspect and I am against a private session. I have no particular feeling about it. I suggest that a vital matter for the representatives of the nation, and the nation itself, is that the final document which was agreed on by a united Cabinet, should be put side by side with the final document which the Delegation of Plenipotentiaries did not sign as a treaty, but did sign on the understanding that each signatory would recommend it to the Dáil for acceptance.	0.149	0.034	0.8625
14-12	DR. V. WHITE  : 	I formally propose that this meeting of the Dáil, and, if the Dáil approve of it, subsequent meetings also, be held in private. Of course this does not preclude having a session of the Dáil, so approved, public. I do move this resolution as an humble member of the Dáil, because I for one respectfully submit to all concerned that certain points—if I might say so, certain obstructions—require to be cleared away before this all- important, this terrible question, is decided one way or the other. My chief reasons for suggesting to the Dáil a private meeting at first are these. These points must, I respectfully suggest, be cleared up, and secondly, in a private meeting I think it will be generally conceded that members of any assembly where such an important question arises will talk more freely and will ask questions with greater facility. I will not weary the Dáil further, but will formally move that this meeting of the Dáil and, if the Dáil so approves, other meetings, be held in private.	0.138	0.013	0.9323
14-12	Mr. P. O'KEEFFE  : 	I beg to second Dr. White's motion.	0	0	0
14-12	Mr. D. CEANNT  : 	I move that this session and other sessions be held in public. I am thoroughly dissatisfied with the information we are getting here from time to time. During the last five or six months—during the truce—my constituents at home could tell me that letters have been received from members of the staff that the whole question was settled up two months ago. And yet we are going around the country without knowing a thing about it. What I want to say is to repeat what I have been saying to my constituents for the last five or six years. What I am now about to do and say I am quite prepared to do publicly. I move that this and all other sessions be public.	0.029	0.024	-0.1027
